State,Year,Brand,Count,Percentage
Andaman and Nicobar Islands,2018,Apple,1363,0.12715323925015293
Andaman and Nicobar Islands,2018,Huawei,1100,0.0998893293067077
Andaman and Nicobar Islands,2018,Lenovo,1122,0.10529183742350284
Andaman and Nicobar Islands,2018,Motorola,1409,0.1306898341656361
Andaman and Nicobar Islands,2018,OnePlus,2136,0.19695800084427445
Andaman and Nicobar Islands,2018,Oppo,3465,0.31423550293576197
Andaman and Nicobar Islands,2018,Others,4117,0.3832578248867923
Andaman and Nicobar Islands,2018,Realme,2144,0.1958875101612847
Andaman and Nicobar Islands,2018,Samsung,8713,0.810024054212235
Andaman and Nicobar Islands,2018,Vivo,7310,0.657574701482224
Andaman and Nicobar Islands,2018,Xiaomi,10637,0.979038165331428
Andaman and Nicobar Islands,2019,Apple,2392,0.1063207100918955
Andaman and Nicobar Islands,2019,Huawei,2682,0.1183642433766695
Andaman and Nicobar Islands,2019,Lenovo,1874,0.0838395388709895
Andaman and Nicobar Islands,2019,Motorola,2533,0.11300909749265158
Andaman and Nicobar Islands,2019,OnePlus,3974,0.17665856999326243
Andaman and Nicobar Islands,2019,Oppo,7942,0.35150432281412214
Andaman and Nicobar Islands,2019,Others,7938,0.3529027677789572
Andaman and Nicobar Islands,2019,Realme,4396,0.1943888603400838
Andaman and Nicobar Islands,2019,Samsung,17140,0.7606039628935175
Andaman and Nicobar Islands,2019,Vivo,17397,0.7683672494627324
Andaman and Nicobar Islands,2019,Xiaomi,21950,0.9740406768851186
Andaman and Nicobar Islands,2020,Apple,3370,0.08973991269417693
Andaman and Nicobar Islands,2020,Huawei,4581,0.1195725170271021
Andaman and Nicobar Islands,2020,Lenovo,2366,0.0626742477672186
Andaman and Nicobar Islands,2020,Motorola,3433,0.09065862632793754
Andaman and Nicobar Islands,2020,OnePlus,5533,0.1466930207506014
Andaman and Nicobar Islands,2020,Oppo,13986,0.3614968906793332
Andaman and Nicobar Islands,2020,Others,12479,0.3218824861637096
Andaman and Nicobar Islands,2020,Realme,8553,0.21956095500176676
Andaman and Nicobar Islands,2020,Samsung,28875,0.7452684392955438
Andaman and Nicobar Islands,2020,Vivo,34833,0.890465219393809
Andaman and Nicobar Islands,2020,Xiaomi,36800,0.9519876848988011
Andaman and Nicobar Islands,2021,Apple,4982,0.07676377524471052
Andaman and Nicobar Islands,2021,Huawei,6160,0.09609598196441847
Andaman and Nicobar Islands,2021,Motorola,4188,0.06524192564860144
Andaman and Nicobar Islands,2021,OnePlus,8751,0.13451648692747237
Andaman and Nicobar Islands,2021,Oppo,22594,0.34990873691258373
Andaman and Nicobar Islands,2021,Others,18261,0.2842308858796376
Andaman and Nicobar Islands,2021,Realme,18091,0.27716111000992344
Andaman and Nicobar Islands,2021,Samsung,46939,0.7276015810005615
Andaman and Nicobar Islands,2021,Tecno,4365,0.06679497286850193
Andaman and Nicobar Islands,2021,Vivo,62876,0.9717608654503223
Andaman and Nicobar Islands,2021,Xiaomi,61408,0.9499236780932667
Andaman and Nicobar Islands,2022,Apple,1634,0.02141883389261745
Andaman and Nicobar Islands,2022,Huawei,1441,0.018888947147651006
Andaman and Nicobar Islands,2022,Motorola,1050,0.01376363255033557
Andaman and Nicobar Islands,2022,OnePlus,3005,0.039390205536912755
Andaman and Nicobar Islands,2022,Oppo,6461,0.08469221895973154
Andaman and Nicobar Islands,2022,Others,4558,0.05974727348993288
Andaman and Nicobar Islands,2022,Realme,6769,0.08872955117449664
Andaman and Nicobar Islands,2022,Samsung,12955,0.16981700922818793
Andaman and Nicobar Islands,2022,Tecno,1770,0.02320155201342282
