State_Name,Year,Total_Count,Amount
Andaman and Nicobar Islands,2018,58021,189076103.93870562
Andhra Pradesh,2018,77779112,122072014670.5119
Arunachal Pradesh,2018,435229,1127123964.1846075
Assam,2018,8806777,13207547440.677614
Bihar,2018,44556885,68085690829.168205
Chandigarh,2018,2383031,4976604721.92664
Chhattisgarh,2018,13933118,22132045738.816086
Daman and Diu,2018,1044832,1584119368.2444315
Delhi,2018,64231244,95756508188.45006
Goa,2018,1244738,2648632615.862338
Gujarat,2018,39761960,62438058555.732864
Haryana,2018,31843908,59879940980.86018
Himachal Pradesh,2018,3364250,6187247508.720741
Jammu and Kashmir,2018,7763165,13255998740.914131
Jharkhand,2018,19737665,25999250107.809105
Karnataka,2018,99925678,173966953727.17703
Kerala,2018,11524547,19359984557.230927
Ladakh,2018,81174,279481579.9463398
Lakshadweep,2018,6255,16918666.73048696
Madhya Pradesh,2018,57111347,82661034747.76534
Maharashtra,2018,116301535,189848425279.92615
Manipur,2018,661158,1370270699.3498373
Meghalaya,2018,388850,730694268.1707993
Mizoram,2018,140170,435763216.188445
Nagaland,2018,342148,861137679.448704
Odisha,2018,65162918,59640327897.65285
Puducherry,2018,732708,1494976831.8199747
Punjab,2018,12800841,25313100054.33232
Rajasthan,2018,52782208,86435235061.03827
Sikkim,2018,381689,826565609.5017354
Tamil Nadu,2018,54950272,104019568190.85959
Telangana,2018,67541293,117864587293.96799
Tripura,2018,1188478,1453619620.7517974
Uttar Pradesh,2018,92864871,131769030564.07889
Uttarakhand,2018,8358700,13569145914.897322
West Bengal,2018,120011635,111588715417.2264
