State_Name,Year,District,Total_Count,Amount
Andaman and Nicobar Islands,2018,nicobars district,4604,17780974.215816397
Andaman and Nicobar Islands,2018,north and middle andaman district,4687,15106691.59677232
Andaman and Nicobar Islands,2018,south andaman district,48730,156188438.12611693
Andaman and Nicobar Islands,2019,nicobars district,8267,40298293.37589078
Andaman and Nicobar Islands,2019,north and middle andaman district,15400,43179334.942117214
Andaman and Nicobar Islands,2019,south andaman district,109437,389987128.63581693
Andaman and Nicobar Islands,2020,nicobars district,20907,83826377.17641625
Andaman and Nicobar Islands,2020,north and middle andaman district,62749,139573291.43773675
Andaman and Nicobar Islands,2020,south andaman district,362618,1073023747.7424818
Andaman and Nicobar Islands,2021,nicobars district,70800,243405674.08799446
Andaman and Nicobar Islands,2021,north and middle andaman district,166265,440001622.1886592
Andaman and Nicobar Islands,2021,south andaman district,1434988,4242080784.3506594
Andaman and Nicobar Islands,2022,nicobars district,181142,501001001.4993402
Andaman and Nicobar Islands,2022,north and middle andaman district,305503,810331301.0081512
Andaman and Nicobar Islands,2022,south andaman district,4951234,10798924426.214111
Andaman and Nicobar Islands,2023,nicobars district,332127,686027366.0
Andaman and Nicobar Islands,2023,north and middle andaman district,531883,1350118037.0
Andaman and Nicobar Islands,2023,south andaman district,7218533,12627324211.0
Andhra Pradesh,2018,anantapur district,5677293,9136862631.88221
Andhra Pradesh,2018,chittoor district,7479677,11262652524.924847
Andhra Pradesh,2018,east godavari district,8445281,11608572162.76775
Andhra Pradesh,2018,guntur district,6363182,11075178281.690075
Andhra Pradesh,2018,krishna district,7325017,12902851265.622473
Andhra Pradesh,2018,kurnool district,7077781,8831728078.366066
Andhra Pradesh,2018,prakasam district,4287261,7921866009.516399
Andhra Pradesh,2018,spsr nellore district,4435953,7728088324.976391
Andhra Pradesh,2018,srikakulam district,3345479,4705770892.388381
Andhra Pradesh,2018,visakhapatnam district,11083658,16926347922.041801
Andhra Pradesh,2018,vizianagaram district,3307497,4298714072.727318
Andhra Pradesh,2018,west godavari district,4482887,8088155629.326921
Andhra Pradesh,2018,ysr district,4468146,7585226874.281926
Andhra Pradesh,2019,anantapur district,19124004,37316843193.12135
Andhra Pradesh,2019,chittoor district,31918890,52342031495.08866
Andhra Pradesh,2019,east godavari district,25962449,44703169882.955086
Andhra Pradesh,2019,guntur district,26555462,49812468795.109924
Andhra Pradesh,2019,krishna district,32000329,61942235513.24086
Andhra Pradesh,2019,kurnool district,20230348,35158588587.4884
Andhra Pradesh,2019,prakasam district,13897833,29028504313.622444
Andhra Pradesh,2019,spsr nellore district,16503474,32085419431.627903
Andhra Pradesh,2019,srikakulam district,10814909,18916990009.75548
Andhra Pradesh,2019,visakhapatnam district,61686425,100335470694.67267
Andhra Pradesh,2019,vizianagaram district,11930376,19905539459.599922
Andhra Pradesh,2019,west godavari district,13007531,26638826490.644035
Andhra Pradesh,2019,ysr district,13548224,29605286551.969276
Andhra Pradesh,2020,anantapur district,54383935,123792981199.15785
Andhra Pradesh,2020,chittoor district,78198211,155120426263.32324
Andhra Pradesh,2020,east godavari district,68438497,146207267174.62592
Andhra Pradesh,2020,guntur district,67539971,153629396059.4941
Andhra Pradesh,2020,krishna district,71580505,160695815205.77267
Andhra Pradesh,2020,kurnool district,50048865,116689636596.01607
Andhra Pradesh,2020,prakasam district,43606153,107089279837.39615
Andhra Pradesh,2020,spsr nellore district,54287104,124296974352.62842
Andhra Pradesh,2020,srikakulam district,30639080,65183320527.66962
Andhra Pradesh,2020,visakhapatnam district,133388198,256611900925.6087
Andhra Pradesh,2020,vizianagaram district,30549906,64361182875.4122
Andhra Pradesh,2020,west godavari district,39279879,95301285684.23376
Andhra Pradesh,2020,ysr district,41676395,108267113952.52193
Andhra Pradesh,2021,anantapur district,111721883,260872393128.5954
Andhra Pradesh,2021,chittoor district,157435719,327959848385.8759
Andhra Pradesh,2021,east godavari district,146473854,330738277950.34155
Andhra Pradesh,2021,guntur district,153008243,358644249080.2377
Andhra Pradesh,2021,krishna district,166406239,389170550460.9875
Andhra Pradesh,2021,kurnool district,98050977,238097318565.81104
Andhra Pradesh,2021,prakasam district,87094297,230622325120.62042
Andhra Pradesh,2021,spsr nellore district,129164873,294589487023.20166
Andhra Pradesh,2021,srikakulam district,58848330,133334811497.66553
Andhra Pradesh,2021,visakhapatnam district,254571741,506223150683.20044
Andhra Pradesh,2021,vizianagaram district,54967140,121255538827.25519
Andhra Pradesh,2021,west godavari district,96446863,247296846935.79852
Andhra Pradesh,2021,ysr district,82611498,224859854273.3814
Andhra Pradesh,2022,anantapur district,180177478,391605309429.5425
Andhra Pradesh,2022,chittoor district,262143000,524230482153.2112
Andhra Pradesh,2022,east godavari district,246294864,522807389020.04565
Andhra Pradesh,2022,guntur district,259878825,565299127375.613
Andhra Pradesh,2022,krishna district,282929824,615284381044.4675
Andhra Pradesh,2022,kurnool district,158342004,357060547561.4529
Andhra Pradesh,2022,prakasam district,140091639,345509717740.5255
Andhra Pradesh,2022,spsr nellore district,187183056,414021895794.5795
Andhra Pradesh,2022,srikakulam district,90538455,195280050267.7538
Andhra Pradesh,2022,visakhapatnam district,390845365,729793761781.7484
Andhra Pradesh,2022,vizianagaram district,83690232,176270298181.27408
Andhra Pradesh,2022,west godavari district,173236379,407413764598.9496
Andhra Pradesh,2022,ysr district,131258932,339400362562.44714
Andhra Pradesh,2023,anantapur district,278362175,534815607117.0
Andhra Pradesh,2023,chittoor district,409339683,728992310280.0
Andhra Pradesh,2023,east godavari district,395141490,729003728142.0
Andhra Pradesh,2023,guntur district,396528396,751036808541.0
Andhra Pradesh,2023,krishna district,423274776,784600518648.0
Andhra Pradesh,2023,kurnool district,246771524,489071405446.0
Andhra Pradesh,2023,prakasam district,221717076,471308827916.0
Andhra Pradesh,2023,spsr nellore district,247249833,485742306986.0
Andhra Pradesh,2023,srikakulam district,141225596,271386411480.0
Andhra Pradesh,2023,visakhapatnam district,559161926,910012908390.0
Andhra Pradesh,2023,vizianagaram district,130321478,242433109419.0
Andhra Pradesh,2023,west godavari district,274589885,545532494299.0
Andhra Pradesh,2023,ysr district,202669993,464568064880.0
Arunachal Pradesh,2018,anjaw district,293,598852.897023739
Arunachal Pradesh,2018,changlang district,33373,71512230.28231964
Arunachal Pradesh,2018,dibang valley district,139,359611.0472923467
Arunachal Pradesh,2018,east kameng district,3830,11368841.528786654
Arunachal Pradesh,2018,east siang district,33081,79976609.5073593
Arunachal Pradesh,2018,kamle district,366,423627.3887094477
Arunachal Pradesh,2018,kra daadi district,1640,6343596.992020055
Arunachal Pradesh,2018,kurung kumey district,866,1285867.9285355015
Arunachal Pradesh,2018,lepa rada district,2254,5935774.830388202
Arunachal Pradesh,2018,lohit district,36572,105230422.04189384
Arunachal Pradesh,2018,longding district,18824,55505347.64562373
Arunachal Pradesh,2018,lower dibang valley district,10234,20663364.92128581
Arunachal Pradesh,2018,lower siang district,9092,12096294.45647973
Arunachal Pradesh,2018,lower subansiri district,9224,21803632.266523015
Arunachal Pradesh,2018,namsai district,16950,36776592.10083562
Arunachal Pradesh,2018,pakke kessang district,519,834799.3116680516
Arunachal Pradesh,2018,papum pare district,138093,355032707.1653931
Arunachal Pradesh,2018,shi yomi district,61,42483.80153055695
Arunachal Pradesh,2018,siang district,2025,5398069.172705627
Arunachal Pradesh,2018,tawang district,27600,80433375.72245046
Arunachal Pradesh,2018,tirap district,11895,22481658.443637393
Arunachal Pradesh,2018,upper siang district,1657,3582794.8155335155
Arunachal Pradesh,2018,upper subansiri district,6307,17264617.564201362
Arunachal Pradesh,2018,west kameng district,58718,172784988.1821791
Arunachal Pradesh,2018,west siang district,11616,39387804.17023057
Arunachal Pradesh,2019,anjaw district,14236,31416955.325982742
Arunachal Pradesh,2019,changlang district,99401,219360004.3418443
Arunachal Pradesh,2019,dibang valley district,669,2432961.0259567657
Arunachal Pradesh,2019,east kameng district,14457,48143994.087049834
Arunachal Pradesh,2019,east siang district,81331,215949659.6942736
Arunachal Pradesh,2019,kamle district,2481,4452290.643282947
Arunachal Pradesh,2019,kra daadi district,7534,21438313.21702455
Arunachal Pradesh,2019,kurung kumey district,5089,14314742.903414408
Arunachal Pradesh,2019,lepa rada district,10804,22919214.033543523
Arunachal Pradesh,2019,lohit district,88375,213770306.41577387
Arunachal Pradesh,2019,longding district,35318,104678926.36127272
Arunachal Pradesh,2019,lower dibang valley district,30914,63756897.81027899
Arunachal Pradesh,2019,lower siang district,19332,35492639.99516478
Arunachal Pradesh,2019,lower subansiri district,31207,78056306.76114294
Arunachal Pradesh,2019,namsai district,49980,100565766.52422592
Arunachal Pradesh,2019,pakke kessang district,3403,7866642.200786552
Arunachal Pradesh,2019,papum pare district,418586,1115553685.7503908
Arunachal Pradesh,2019,shi yomi district,291,479339.5055884579
Arunachal Pradesh,2019,siang district,10332,23648357.71284143
Arunachal Pradesh,2019,tawang district,83236,259575883.6160077
Arunachal Pradesh,2019,tirap district,41453,92915159.19039965
Arunachal Pradesh,2019,upper siang district,7817,23417380.717923768
