State_Name,Year,Registered_Users
Andaman and Nicobar Islands,2023,329902
Andhra Pradesh,2023,103289561
Arunachal Pradesh,2023,1453546
Assam,2023,19513062
Bihar,2023,80487045
Chandigarh,2023,2337392
Chhattisgarh,2023,25564369
Daman and Diu,2023,1848518
Delhi,2023,58573012
Goa,2023,3189439
Gujarat,2023,83393984
Haryana,2023,55741930
Himachal Pradesh,2023,9272542
Jammu and Kashmir,2023,6697509
Jharkhand,2023,30505516
Karnataka,2023,134607488
Kerala,2023,38730911
Ladakh,2023,398645
Lakshadweep,2023,25923
Madhya Pradesh,2023,85220708
Maharashtra,2023,208417046
Manipur,2023,1780818
Meghalaya,2023,1104591
Mizoram,2023,497435
Nagaland,2023,1197178
Odisha,2023,52547290
Puducherry,2023,1936933
Punjab,2023,31565161
Rajasthan,2023,101413913
Sikkim,2023,904603
Tamil Nadu,2023,93652816
Telangana,2023,95627467
Tripura,2023,2525790
Uttar Pradesh,2023,169433551
Uttarakhand,2023,15905910
West Bengal,2023,94952604
