State_Name,Year,District,Total_Count
Andaman and Nicobar Islands,2018,nicobars district,1616
Andaman and Nicobar Islands,2018,north and middle andaman district,4304
Andaman and Nicobar Islands,2018,south andaman district,37596
Andaman and Nicobar Islands,2019,nicobars district,2869
Andaman and Nicobar Islands,2019,north and middle andaman district,10047
Andaman and Nicobar Islands,2019,south andaman district,77302
Andaman and Nicobar Islands,2020,nicobars district,4422
Andaman and Nicobar Islands,2020,north and middle andaman district,19846
Andaman and Nicobar Islands,2020,south andaman district,130541
Andaman and Nicobar Islands,2021,nicobars district,7089
Andaman and Nicobar Islands,2021,north and middle andaman district,35591
Andaman and Nicobar Islands,2021,south andaman district,215935
Andaman and Nicobar Islands,2022,nicobars district,8962
Andaman and Nicobar Islands,2022,north and middle andaman district,46357
Andaman and Nicobar Islands,2022,south andaman district,274583
Andaman and Nicobar Islands,2023,nicobars district,7842
Andaman and Nicobar Islands,2023,north and middle andaman district,40757
Andaman and Nicobar Islands,2023,south andaman district,240469
Andhra Pradesh,2018,anantapur district,1484322
Andhra Pradesh,2018,chittoor district,1904854
Andhra Pradesh,2018,east godavari district,2058191
Andhra Pradesh,2018,guntur district,1915874
Andhra Pradesh,2018,krishna district,1975203
Andhra Pradesh,2018,kurnool district,1452339
Andhra Pradesh,2018,prakasam district,1153268
Andhra Pradesh,2018,spsr nellore district,1185465
Andhra Pradesh,2018,srikakulam district,844082
Andhra Pradesh,2018,visakhapatnam district,2880623
Andhra Pradesh,2018,vizianagaram district,757711
Andhra Pradesh,2018,west godavari district,1281178
Andhra Pradesh,2018,ysr district,1130906
Andhra Pradesh,2019,anantapur district,2953965
Andhra Pradesh,2019,chittoor district,3926889
Andhra Pradesh,2019,east godavari district,4036853
Andhra Pradesh,2019,guntur district,3902776
Andhra Pradesh,2019,krishna district,4052511
Andhra Pradesh,2019,kurnool district,2881449
Andhra Pradesh,2019,prakasam district,2285812
Andhra Pradesh,2019,spsr nellore district,2366957
Andhra Pradesh,2019,srikakulam district,1672744
Andhra Pradesh,2019,visakhapatnam district,5573956
Andhra Pradesh,2019,vizianagaram district,1506577
Andhra Pradesh,2019,west godavari district,2527737
Andhra Pradesh,2019,ysr district,2200372
Andhra Pradesh,2020,anantapur district,4531526
Andhra Pradesh,2020,chittoor district,5794657
Andhra Pradesh,2020,east godavari district,6137000
Andhra Pradesh,2020,guntur district,5996484
Andhra Pradesh,2020,krishna district,6133960
Andhra Pradesh,2020,kurnool district,4334092
Andhra Pradesh,2020,prakasam district,3494066
Andhra Pradesh,2020,spsr nellore district,3590019
Andhra Pradesh,2020,srikakulam district,2554628
Andhra Pradesh,2020,visakhapatnam district,7936304
Andhra Pradesh,2020,vizianagaram district,2250727
Andhra Pradesh,2020,west godavari district,4005517
Andhra Pradesh,2020,ysr district,3351725
Andhra Pradesh,2021,anantapur district,6213759
Andhra Pradesh,2021,chittoor district,7770972
Andhra Pradesh,2021,east godavari district,8330010
Andhra Pradesh,2021,guntur district,8175239
Andhra Pradesh,2021,krishna district,8312691
Andhra Pradesh,2021,kurnool district,5889434
Andhra Pradesh,2021,prakasam district,4792043
Andhra Pradesh,2021,spsr nellore district,4889715
Andhra Pradesh,2021,srikakulam district,3487905
Andhra Pradesh,2021,visakhapatnam district,10491616
Andhra Pradesh,2021,vizianagaram district,3035180
Andhra Pradesh,2021,west godavari district,5562968
Andhra Pradesh,2021,ysr district,4582033
Andhra Pradesh,2022,anantapur district,7914197
Andhra Pradesh,2022,chittoor district,9816947
Andhra Pradesh,2022,east godavari district,10533791
Andhra Pradesh,2022,guntur district,10323310
Andhra Pradesh,2022,krishna district,10474340
Andhra Pradesh,2022,kurnool district,7497210
Andhra Pradesh,2022,prakasam district,6106541
Andhra Pradesh,2022,spsr nellore district,6194150
Andhra Pradesh,2022,srikakulam district,4465248
Andhra Pradesh,2022,visakhapatnam district,13251721
Andhra Pradesh,2022,vizianagaram district,3875762
Andhra Pradesh,2022,west godavari district,7039673
Andhra Pradesh,2022,ysr district,5796671
Andhra Pradesh,2023,anantapur district,6973594
